Text;Prueba
aló Buenos días por favor la joven Juanita Arenas  señora  mucho gusto Mi nombre es Valentina Me estoy comunicando a la universidad jariana Cali cómo está  Muy bien  bueno el motivo de mi llamada es porque ha presentado interés por el programa de medicina y el día de mañana finalizamos proceso de inscripción deseamos conocer si vas a iniciar el proceso  aló  Hola Me escuchas  aló  Hola  hola te ahí se escucha bien Hola  buenas aló aló;No
universidades Adriana de Cali muy buenos días Habla con Ingrid en qué te puedo ayudar Buenos días Cómo estás  Muy bien gracias señora Denis cuéntanos En qué te podemos ayudar  señora Ingrid Tengo una inquietud muy puntual la empresa flevo flevo  Sí señora  Sí financia con ustedes  Sí señora En qué diplomado estás interesada o en qué programa derecho  eh en el de derecho eh comercial  diplomado de derecho comercial  te lo está observando por la página de la Universidad de la javeriana de Bogotá o Cali  Permíteme es de Cali Permíteme un minutico ya te digo es que es mi hijo pero es que no sé A última hora me dio como duda  comprendo no se preocupe  Permíteme un momentico ya te digo  Ay ahora se me perdió cuál es  indíqueme el número de documento de identidad del estudiante del participante  1 1017 264 182  Sí señora sí  Juan Luis Romero Díaz  Sí señora  exactamente el próximo viernes  Okay está interesado es en el diplomado en derecho societario que inicia el próximo 26 de mayo correcto y es solicitud  Ajá o sea hago hago hago el pago sin problema  Permítame un momento y  pero es con flevo es con con flevo  mi estimada Permítame hicieron financiación con flevo correcto  muchísimo Sí señora Sí señora  listo Permítame  él es mayor de edad  sí  okay Porque sí él quedó con digamos que con el ahora tengo que llevar el contrato y el link para la cuota inicial  señor sí señora yo Ya ya Sí señora Ya O sea no pero vuelvo y te digo Perdóname sino que se me hizo raro o sea no sé yo diciendo Yo voy a confirmar  Entonces sería la pregunta no hay problema  Ah Bueno listo perfecto  Sí sí señora eh nosotros tenemos nosotros tenemos convenio con la entidad del fleo Sí señora y eh Permítame le confirmo lo que sí le quiero confirmar es aquí en qué proceso está  ya ya me mandaron Incluso el link para para el pago  Sí señora Ah sí correcto Sí el contrato está firmado Recuerden que deben de enviar o sea una vez realizado el pago al asesor que los ha atendido o el de educación continua deben de enviarle el contrato firmado y el pago de la cuota inicial para que ella quede como inscrito pago bueno  o sea al a la persona de con la que estoy hablando de flevo  ah  no señora con la persona el asesor que está hablando con la universidad o pueden enviar estos dos documentos Sí para que mejor se queden más tranquilos al siguiente correo Que es formación  Permítame Permítame lo anoto formación  @javerianacali @gmail .edu.co le confirmo deben de enviar el contrato firmado y el soporte de la cuota inicial  listo perfecto contrato firmado el soporte de cuota listo perfecto yo en un ratico los envíos Muchas gracias  Bueno señora claro que a ustedes muy amable que tenga un excelente día vale Hasta luego  Bueno hasta luego igualmente;No
 aló Buenos días me comunico con Rafael Dávalos  estoy con él  le habla indivalente de la Universidad javena de Cali Cómo se encuentra  muy bien gracias usted  Ah bueno Muy bien gracias a Dios eh nos estamos comunicando señor Rafael por su interés en el seminario en business análisis de Victoria con power bi  Ajá Sí señora  eh Bueno usted se encuentra en la Ciudad de Cali  Sí señor  este seminario se dictará de manera presencial en el campus universitario iniciaría el 22 de junio y finalizaría el 31 de julio  sí que tenga una pregunta usted es el curso de python  es  No señor seminario en business y análisis de Big Data con power bi  Ah okay okay Sí sí sí Ya ya recordé eh es seminario es gratuito cierto  Ajá  se estaba digamos que se estaba ofertando de esa manera pero pues con un convenio que tenía el icet con el Ministerio de las tic pero esa convocatoria ya finalizó ahorita se está pues manejando ya directamente con la universidad y si tiene un valor  se encuentra en 805,000 pesos Okay pero yo no he pagado todavía matrícula ni nada no  okay  no no señor precisamente pues me comunico es para brindarle información usted dejó los datos para que le brindaran información  sí sí sí entiendo Ajá sí sino que cómo me dices que ya empezado como inscrito o algo así por eso preguntar  no no señor este iniciaría el 22 de junio  okay  las clases presenciales serían los días lunes y jueves de 6:30 a 9:30 de la noche tendría de pronto algún inconveniente con ese horario  algo así por el trabajo la verdad yo creí que iba a ser virtual  son las bueno se maneja un online pero ya sería para el mes de julio  Okay Eh Pues por ahora por ahora sí recibiré la información y y creo que estaré pendiente para confirmarlo  perfecto  Bueno sí señor Entonces le compartiré información vía WhatsApp Si está bien y pues por ese medio podríamos continuar en contacto bueno  listo Muchísimas gracias  bueno señor con gusto que esté muy bien Hasta luego;No
Buenos días Buenos días me comunico con Dina García  no  Dina Gómez García Dina Paola  Sí señora sí  le hablamos de la Universidad javeriana de Cali cómo está  bien gracias  bueno Me alegra nos estamos comunicando por su interés en el diplomado en lactancia materna  sí  puedo en este momento brindarle la información desea recibir la vía WhatsApp  porque ahorita estoy en turno entonces estoy enredadita  Ah bueno señora ya se la comparto entonces y quedo atenta por ese medio bueno  bueno que tenga buen día hasta luego  Okay listo Sí señora Bueno muchísimas gracias buenas hasta luego;No
Aló Buenos días Buenos días me comunico con Juliana rugeles  Sí De dónde me llamas  Sí señora le habla Ingrid de la universidad javeriana Cali Cómo estás  Muy bien gracias  bueno Me alegra mucho Julián el motivo de mis llamados porque sabemos de su interés en la especialización en gestión de las artes y la cultura en este momento deseo validarse usted va a continuar con el proceso Si tiene alguna duda del programa  sí  no señorita Pues en este momento estoy terminando un mba y y Pues prefiero más bien terminarlo porque pues sí no no me está quedando mucho tiempo la idea era de pronto tomar otro curso otro Perdón otro otro especialidad pero me quedaría muy difícil entonces quiero más bien graduarme de este y seguir ya con las demás especialidades entonces eh yo pensaría que por ahí en los 6 meses ya termino este que que es el que ya llevo más avanzado  y y ya más adelante pues entonces sí sí estaría pues interesado en en la parte de de esta especialización de esta creo que es una maestría o es  pues una especialización es una especialización  Ah bueno Juliana comprendo  eso sí una especialización entonces eh pero sí Lo único es que no sé si ustedes lo tengan fijo cierto si ustedes lo tienen fijo ahí en la javeriana  Ah bueno perfecto  Sí señora el programa es virtual y pues se apertura cada año o sea es anual bien los segundos semestres de cada año  Ah Bueno listo señorita Entonces yo creo que estaría entonces hablando el otro año  Ah bueno Perfecto entonces estaremos muy atentos por volver a hacer el registro bueno  Claro que sí Bueno muchísimas gracias muy amable  con gusto que esté muy bien Hasta luego  Okay hasta luego;No
aló  Sí señora Aló muy buenos días Buenos días por favor la señora Jessica Sáenz  con ella  señora Jessica mucho gusto habla con Ingrid bejarano de la Universidad javeriana de Cali cómo está  muy bien señora Gracias  gracias señora Jessica por atender mi llamada y te comento yo te estoy llamando porque estás interesada en nuestro seminario de Excel intermedio avanzado que inicia este próximo 16 de mayo estamos llamando para confirmar su participación saber si logró realizar su inscripción o si tuvo algún inconveniente para ayudarla  no no señora ya por medio de la empresa pudimos esto solventar Pues un curso por otro lado Entonces ya no estoy interesada  Gracias señora Jessica muy amable quedamos entonces atentos a una próxima ocasión que esté muy bien Hasta luego  muy bien Hasta luego;No
aló muy buenos días con la señora Estefanía Nieto  Sí con ella  Estefanía empezó llamando la universidad Cómo te encuentras el día de hoy  bien gracias Y tú  muy bien Estefanía el motivo de mi llamada es porque realizaste preinscripción en el diplomado en energías renovables y eficiencia energética el cual eh Tienes aprobado un descuento del 5% y queríamos validar si ya pudiste realizar el pago  no ahorita pago estoy trabajando ayer se me olvidó hacer el pago entonces yo pero hoy yo dejo el pago y envío el comprobante del correo  listo sí me imaginé  sí te recomendamos porque eh quedaría máximo ese pago que te autorizaron creo que es hasta el día de hoy ya el lunes te quedaría el valor total  Bueno sí no importa pues el horario pero que sea el día de hoy  listo Dale no yo pago ahorita antes al mediodía que salgo a la 1 listo vale Vale gracias  listo bueno que estés bien hasta luego  vale que estés bien Bueno chao;No
 No yo no tengo un peso Carlos antes me cayó Hola buenas tardes me comunico con Eric Joana  hablas con Natalia de la universidad Adriana de Cali Cómo estás  con la mamá ahí donde o sea muy bien gracias Que para pegar el pico allá  Qué buenas el motivo de mi llamada es porque sabemos que Erika está interesada en el programa de negocios internacionales quería validar si tienen alguna duda acerca del programa  no pues ella me estuvo comentando y pues me quedó todo muy claro ella me decía que hay que esperar que aquí unas pruebas que le hacen a ella algo así  eh el programa tiene que hacer el proceso de inscripción es virtual debe subir algunos documentos hacer el pago de 143,000 pesos y ya después tendría la entrevista con el director del programa y ya después se le hace el examen de inglés para ver cómo está en el idioma  Ah bueno señora estaría bien si le dejo un mensaje en WhatsApp en caso Dado que ella me responda y yo me contacto por ahí  Ah ya pues mira si no sé si de pronto Pues en el momento no está si de pronto tienen la formita de llamar pues ya para hablar con ella porque ella sabe ya la que sabe todo como tal no para que puedan conversar con ella Ah claro sí sí señora  bueno que esté muy bien Hasta luego Que tenga un feliz día  gracias bueno Igualmente hasta luego;No
 aló morning  Hola  sí moming  aló  buenos días me comunico con Eduardo Ramírez  Sí cómo no  le habla Angie de la Universidad javeriana de Cali cómo está  buenos días Qué gusto saludarle Cómo le ha ido  muy bien muchas gracias señor Eduardo me comunico por su interés en el diplomado en actualización de tomografía  Sí señora cuénteme  yo le compartí información por WhatsApp de pronto pudo revisarla  no recuerdo que lo haya hecho no en este momento no me acuerdo  bueno no hay problema eh si gusta se la puedo compartir nuevamente o se la puedo brindar por este medio también  Sí señora Sí aprovechemos y me cuenta Cómo es el desarrollo del programa con ustedes  Bueno mira este diplomado como tal daría inicio el 5 de septiembre y finalizaría el 14 de noviembre tiene una duración en total de 100 horas  se va a dictar de manera online son clases en vivo sincrónicas y estas serán los días martes miércoles y jueves de 6 a 9 de la noche  el cuanto Digamos como a lo que va a a verse en el diplomado podrá actualizar y complementar la la formación del personal en salud con herramientas necesarias de los elementos básicos que significan las imágenes Pep en un oncología hoy ejercitarlos en un contexto teórico en los diferentes escenarios que le permitan definir mejor un diagnóstico pronóstico tratamiento y seguimiento de los pacientes oncológicos con las imágenes pef  en cuanto al valor de este diplomado está en 2,500,000 pesos  okay okay okay Y una pregunta ustedes tienen algún tipo eh Yo Soy funcionario del departamento médico de radiología y hemodinamia de la fundación Santa Fe Bogotá no no no he podido averiguar con la empresa si tienen algún convenio con la universidad javeriana específicamente de pronto con la sede de Cali usted tendría información a ese respecto  y  en estos momentos no puedo validarlo con coordinación y le estaría informando  me  Claro que sí  Ah bueno Ah bueno bueno eh Hay debo sí eh yo creo que debo tener su WhatsApp lo que pasa es que no he revisado esta semana por ejemplo no vi nada de eso pero voy a mirar hoy que me queda algo de tiempo y si tengo el WhatsApp de ustedes podemos hacerlo a través del del WhatsApp el tema de la de la información que va a averiguarme  vale  claro que sí sí señor apenas tenga una información me estaría contactando por ese medio  Bueno muy gentil por su llamada y por por su atención y por atender mi solicitud Muchas gracias  Claro que sí con todo gusto que esté muy bien señor hasta luego  bueno feliz día que esté muy bien gracias;No
Buen día hablo con la señorita Mariana Hola necesitan  hablas con Luis Carlos de la Universidad javeriana de Cali Cómo estás  Muy bien gracias  Ah bueno Me alegra el motivo de mi llamada es porque estás interesado en un diplomado en neurociencia estructural y funcional ya te habíamos enviado una información quería saber qué decisión tomaste  Aló señorita Mariana me escuchas  aló;No
Hola buenas tardes Buenos días hablo con Joel Carnaval  hablas con Natalia de la universidad Adriana de Cali Cómo estás bien gracias  Qué bueno es porque sabemos que estás interesado en el programa de economía quería saber si tienes alguna duda alguna inquietud sobre el programa  eh No la verdad no  Okay aún estás interesado en inscribirte  eh Pues por el momento no un momento no no estoy interesado  no me falta  Okay okay Te gustaría que te contactara nuevamente prefieres contactarnos en caso de estar interesado  Dale  Sí yo yo les contacto mejor en caso de que ya decía Dale  dale perfecto Joel gracias por la información gracias por haber atendido mi llamada que tengas un excelente fin de semana  dale gracias  Dale;No
algún día hablo con la Señorita Laura buenas sí  hablas con Luis Carlos de la universidad  aló  Aló hablo con la Señorita Laura  sí señor  hablas con Luis Carlos de la Universidad de Cali Cómo estás  Bien y tú Luis  bien gracias a Dios Señorita Laura el motivo de mi llamada es porque estás interesada en un curso de pocos eh debía haber Ecuador respiratorio agudo quería saber ya que ya te había mandado una información Qué decisión has tomado  okay  No la verdad no la he leído porque es que no las fechas no me cuadran para hacer el curso  okay Entonces no lo tomarías  no no señor  listo señorita labora De todas formas Muchas gracias por el interés en ella será una próxima ocasión Hasta luego Que estés muy bien  listo Hasta luego gracias;No
aló muy buenos días tengo el gusto de hablar con la señorita Ángela gerner  Sí con quién hablo  señorita Ángela te habla Cristian Lozano de la Universidad javeriana de Cali Cómo se encuentra el día de hoy  Ah bien cómo estás  muy bien muchas gracias por preguntar Me alegra que también estés muy bien señorita Ángela el motivo de mi llamada es porque has mostrado interés en nuestro diplomado en acompañamientos en procesos integradores de vida quería consultarte si presentas alguna duda alguna inquietud si ya has visto de pronto información del programa  Okay Sí señora  comprendo  okay  Sí sí lo tengo lo tengo Lo que pasa que yo en este momento estoy estoy mirando mirando programas Quiero entrar a estudiar actualizar lo que pasa es que no es una decisión de compra para este momento yo soy de esas compradoras conservadoras que va haciendo Plane planeaciones ves  Okay perfecto esperamos entonces de pronto tengas en cuenta el el el diplomado y pues no sé si de pronto tienes un número de contacto de nosotros para que te puedas contactar si gustas te puedo enviar okay  Sí sí sí yo tengo número de contacto de la de la u y al ser egresada pues también me llega me llega información vale perfecto Igualmente ten presente que al ser egresada de la universidad eh para el tema del diplomado puedes disponer de hasta un 25% de descuento siempre y cuando no te pases de la fecha del descuento de pronto pago que ofrece la universidad en este caso puntual de este programa será hasta el día 12 de mayo Okay vale lo tendré lo tendré en cuenta  Espero tengas un excelente día que estés muy bien muchas gracias por atender mi llamada  Igualmente hasta luego  hasta luego;No
aló Aló muy buenos días Por favor la señora Jessica Narváez  estoy con ella  señora mucho gusto con Ingrid bejarano de la Universidad javeriana de Cali cómo está  bien  Me alegra mucho Jessica yo la estoy llamando porque usted está interesada en nuestro diplomado en asesoría en lactancia materna que inicia este próximo 13 de junio queremos consultarle si logró realizar su proceso de inscripción o si tuvo algún inconveniente para ayudarla en estos momentos  pero en estos momentos estoy trabajando Entonces no puedo responder porque me voy  pero mi consulta es podemos confirmar su participación o sea está interesada para realizarlo  perfecto  sí estoy interesado  listo igual Permítame yo le envío a su WhatsApp un recordatorio cualquier inquietud que tenga Me puedes escribir por ese medio bueno Muchas gracias  vale se viene hasta luego  Bueno gracias;No
